1000,0
1250,0
1500,0
1750,0
2000,0
2250,0
2500,0
2750,0
3000,0
3250,0
3500,0
3750,15.625
4000,0
4250,0
4500,0
4750,0
5000,15.625
5250,0
5500,0
5750,15.625
6000,0
6250,15.625
6500,0
6750,0
7000,15.625
7250,0
7500,0
7750,15.625
8000,15.625
8250,0
8500,15.625
8750,0
9000,0
9250,15.625
9500,15.625
9750,15.625
10000,15.625
10250,15.625
10500,0
10750,15.625
11000,0
11250,15.625
11500,15.625
11750,15.625
12000,0
12250,0
12500,15.625
12750,0
13000,15.625
13250,0
13500,15.625
13750,15.625
14000,15.625
14250,15.625
14500,0
14750,15.625
15000,15.625
15250,15.625
15500,15.625
15750,15.625
16000,15.625
16250,0
16500,15.625
