10,0,0
12,0,0
14,0,0
16,0,0
19,0,0
22,0,0
26,0,0
31,0,0
37,0,0
44,0,0
52,0,0
62,0,0
74,0,0
88,0,0
105,0,0
126,0,0
151,0,0
181,93.75,0
217,0,0
260,0,0
312,0,0
374,0,0
448,0,140.625
537,0,109.375
644,171.875,0
772,0,31.25
926,0,0
1111,156.25,0
1333,171.875,46.875
1599,171.875,62.5
1918,0,31.25
2301,15.625,15.625
2761,15.625,203.125
3313,31.25,15.625
3975,46.875,46.875
4770,62.5,250
5724,109.375,250
6868,140.625,93.75
8241,203.125,187.5
9889,312.5,312.5
11866,437.5,765.625
14239,671.875,984.375
17086,1015.625,1125
20503,1500,1718.75
24603,2250,9171.875
